PARENT_STRUC_ID,PARENT_TITLE,TITLE,IMAGE_ID,IMAGE_PK,UUID,MSS_FILE_ID,TITLE_1,MSS_LOCATION
2017826,"I. A. Family, 1810 - 1886, n.d","Barnes, Parthenia, 1832 - 1844, n.d.",3939964,5520593,acd6562e-58ef-1f19-e040-e00a18060d18,MSS File Id #38251,"Barnes, Parthenia, 1832 - 1844, n.d.","Box 1, folder 3"
2017826,"I. A. Family, 1810 - 1886, n.d","Barnes, Parthenia, 1832 - 1844, n.d.",3939965,5520594,acd6562e-58f0-1f19-e040-e00a18060d18,MSS File Id #38251,"Barnes, Parthenia, 1832 - 1844, n.d.","Box 1, folder 3"
2017826,"I. A. Family, 1810 - 1886, n.d","Barnes, Parthenia, 1832 - 1844, n.d.",3939966,5520595,acd6562e-58f1-1f19-e040-e00a18060d18,MSS File Id #38251,"Barnes, Parthenia, 1832 - 1844, n.d.","Box 1, folder 3"
2017826,"I. A. Family, 1810 - 1886, n.d","Barnes, Parthenia, 1832 - 1844, n.d.",3939967,5520596,acd6562e-58f2-1f19-e040-e00a18060d18,MSS File Id #38251,"Barnes, Parthenia, 1832 - 1844, n.d.","Box 1, folder 3"
2017826,"I. A. Family, 1810 - 1886, n.d","Barnes, Parthenia, 1832 - 1844, n.d.",3939968,5520597,acd6562e-58f3-1f19-e040-e00a18060d18,MSS File Id #38251,"Barnes, Parthenia, 1832 - 1844, n.d.","Box 1, folder 3"
2017826,"I. A. Family, 1810 - 1886, n.d","Barnes, Parthenia, 1832 - 1844, n.d.",3939969,5520598,acd6562e-58f4-1f19-e040-e00a18060d18,MSS File Id #38251,"Barnes, Parthenia, 1832 - 1844, n.d.","Box 1, folder 3"
2017826,"I. A. Family, 1810 - 1886, n.d","Barnes, Parthenia, 1832 - 1844, n.d.",3939970,5520599,acd6562e-58f5-1f19-e040-e00a18060d18,MSS File Id #38251,"Barnes, Parthenia, 1832 - 1844, n.d.","Box 1, folder 3"
2017826,"I. A. Family, 1810 - 1886, n.d","Barnes, Parthenia, 1832 - 1844, n.d.",3939971,5520600,acd6562e-58f6-1f19-e040-e00a18060d18,MSS File Id #38251,"Barnes, Parthenia, 1832 - 1844, n.d.","Box 1, folder 3"
2017826,"I. A. Family, 1810 - 1886, n.d","Barnes, Parthenia, 1832 - 1844, n.d.",3939972,5520601,acd6562e-58f7-1f19-e040-e00a18060d18,MSS File Id #38251,"Barnes, Parthenia, 1832 - 1844, n.d.","Box 1, folder 3"
2017826,"I. A. Family, 1810 - 1886, n.d","Barnes, Parthenia, 1832 - 1844, n.d.",3939973,5520602,acd6562e-58f8-1f19-e040-e00a18060d18,MSS File Id #38251,"Barnes, Parthenia, 1832 - 1844, n.d.","Box 1, folder 3"
2017826,"I. A. Family, 1810 - 1886, n.d","Barnes, Parthenia, 1832 - 1844, n.d.",3939974,5520603,acd6562e-58f9-1f19-e040-e00a18060d18,MSS File Id #38251,"Barnes, Parthenia, 1832 - 1844, n.d.","Box 1, folder 3"
2017826,"I. A. Family, 1810 - 1886, n.d","Barnes, Parthenia, 1832 - 1844, n.d.",3939975,5520604,acd6562e-58fa-1f19-e040-e00a18060d18,MSS File Id #38251,"Barnes, Parthenia, 1832 - 1844, n.d.","Box 1, folder 3"
2017826,"I. A. Family, 1810 - 1886, n.d","Barnes, Parthenia, 1832 - 1844, n.d.",3939976,5520605,acd6562e-58fb-1f19-e040-e00a18060d18,MSS File Id #38251,"Barnes, Parthenia, 1832 - 1844, n.d.","Box 1, folder 3"
2017826,"I. A. Family, 1810 - 1886, n.d","Barnes, Parthenia, 1832 - 1844, n.d.",3939977,5520606,acd6562e-58fc-1f19-e040-e00a18060d18,MSS File Id #38251,"Barnes, Parthenia, 1832 - 1844, n.d.","Box 1, folder 3"
2017826,"I. A. Family, 1810 - 1886, n.d","Barnes, Parthenia, 1832 - 1844, n.d.",3939978,5520607,acd6562e-58fd-1f19-e040-e00a18060d18,MSS File Id #38251,"Barnes, Parthenia, 1832 - 1844, n.d.","Box 1, folder 3"
2017826,"I. A. Family, 1810 - 1886, n.d","Barnes, Parthenia, 1832 - 1844, n.d.",3939979,5520608,acd6562e-58fe-1f19-e040-e00a18060d18,MSS File Id #38251,"Barnes, Parthenia, 1832 - 1844, n.d.","Box 1, folder 3"
2017826,"I. A. Family, 1810 - 1886, n.d","Barnes, Parthenia, 1832 - 1844, n.d.",3939980,5520609,acd6562e-58ff-1f19-e040-e00a18060d18,MSS File Id #38251,"Barnes, Parthenia, 1832 - 1844, n.d.","Box 1, folder 3"
2017826,"I. A. Family, 1810 - 1886, n.d","Barnes, Parthenia, 1832 - 1844, n.d.",3939981,5520610,acd6562e-5900-1f19-e040-e00a18060d18,MSS File Id #38251,"Barnes, Parthenia, 1832 - 1844, n.d.","Box 1, folder 3"
2017826,"I. A. Family, 1810 - 1886, n.d","Barnes, Parthenia, 1832 - 1844, n.d.",3939982,5520611,acd6562e-5901-1f19-e040-e00a18060d18,MSS File Id #38251,"Barnes, Parthenia, 1832 - 1844, n.d.","Box 1, folder 3"
2017826,"I. A. Family, 1810 - 1886, n.d","Barnes, Parthenia, 1832 - 1844, n.d.",3939983,5520612,acd6562e-5902-1f19-e040-e00a18060d18,MSS File Id #38251,"Barnes, Parthenia, 1832 - 1844, n.d.","Box 1, folder 3"
2017826,"I. A. Family, 1810 - 1886, n.d","Barnes, Parthenia, 1832 - 1844, n.d.",3939984,5520613,acd6562e-5903-1f19-e040-e00a18060d18,MSS File Id #38251,"Barnes, Parthenia, 1832 - 1844, n.d.","Box 1, folder 3"
2017826,"I. A. Family, 1810 - 1886, n.d","Barnes, Parthenia, 1832 - 1844, n.d.",3939985,5520614,acd6562e-5904-1f19-e040-e00a18060d18,MSS File Id #38251,"Barnes, Parthenia, 1832 - 1844, n.d.","Box 1, folder 3"
2017826,"I. A. Family, 1810 - 1886, n.d","Barnes, Parthenia, 1832 - 1844, n.d.",3939986,5520615,acd6562e-5905-1f19-e040-e00a18060d18,MSS File Id #38251,"Barnes, Parthenia, 1832 - 1844, n.d.","Box 1, folder 3"
2017826,"I. A. Family, 1810 - 1886, n.d","Barnes, Parthenia, 1832 - 1844, n.d.",3939987,5520616,acd6562e-5906-1f19-e040-e00a18060d18,MSS File Id #38251,"Barnes, Parthenia, 1832 - 1844, n.d.","Box 1, folder 3"
2017826,"I. A. Family, 1810 - 1886, n.d","Barnes, Parthenia, 1832 - 1844, n.d.",3939988,5520617,acd6562e-5907-1f19-e040-e00a18060d18,MSS File Id #38251,"Barnes, Parthenia, 1832 - 1844, n.d.","Box 1, folder 3"
2017826,"I. A. Family, 1810 - 1886, n.d","Barnes, Parthenia, 1832 - 1844, n.d.",3939989,5520618,acd6562e-5908-1f19-e040-e00a18060d18,MSS File Id #38251,"Barnes, Parthenia, 1832 - 1844, n.d.","Box 1, folder 3"
2017826,"I. A. Family, 1810 - 1886, n.d","Barnes, Parthenia, 1832 - 1844, n.d.",3939990,5520619,acd6562e-5909-1f19-e040-e00a18060d18,MSS File Id #38251,"Barnes, Parthenia, 1832 - 1844, n.d.","Box 1, folder 3"
2017826,"I. A. Family, 1810 - 1886, n.d","Barnes, Parthenia, 1832 - 1844, n.d.",3939991,5520620,acd6562e-590a-1f19-e040-e00a18060d18,MSS File Id #38251,"Barnes, Parthenia, 1832 - 1844, n.d.","Box 1, folder 3"
2017826,"I. A. Family, 1810 - 1886, n.d","Barnes, Parthenia, 1832 - 1844, n.d.",3939992,5520621,acd6562e-590b-1f19-e040-e00a18060d18,MSS File Id #38251,"Barnes, Parthenia, 1832 - 1844, n.d.","Box 1, folder 3"
2017826,"I. A. Family, 1810 - 1886, n.d","Barnes, Parthenia, 1832 - 1844, n.d.",3939993,5520622,acd6562e-590c-1f19-e040-e00a18060d18,MSS File Id #38251,"Barnes, Parthenia, 1832 - 1844, n.d.","Box 1, folder 3"
2017826,"I. A. Family, 1810 - 1886, n.d","Barnes, Parthenia, 1832 - 1844, n.d.",3939994,5520623,acd6562e-590d-1f19-e040-e00a18060d18,MSS File Id #38251,"Barnes, Parthenia, 1832 - 1844, n.d.","Box 1, folder 3"
2017826,"I. A. Family, 1810 - 1886, n.d","Barnes, Parthenia, 1832 - 1844, n.d.",3939995,5520624,acd6562e-590e-1f19-e040-e00a18060d18,MSS File Id #38251,"Barnes, Parthenia, 1832 - 1844, n.d.","Box 1, folder 3"
2017826,"I. A. Family, 1810 - 1886, n.d","Barnes, Parthenia, 1832 - 1844, n.d.",3939996,5520625,acd6562e-590f-1f19-e040-e00a18060d18,MSS File Id #38251,"Barnes, Parthenia, 1832 - 1844, n.d.","Box 1, folder 3"
2017826,"I. A. Family, 1810 - 1886, n.d","Barnes, Parthenia, 1832 - 1844, n.d.",3939997,5520626,acd6562e-5910-1f19-e040-e00a18060d18,MSS File Id #38251,"Barnes, Parthenia, 1832 - 1844, n.d.","Box 1, folder 3"
2017826,"I. A. Family, 1810 - 1886, n.d","Barnes, Parthenia, 1832 - 1844, n.d.",3939998,5520627,acd6562e-5911-1f19-e040-e00a18060d18,MSS File Id #38251,"Barnes, Parthenia, 1832 - 1844, n.d.","Box 1, folder 3"
2017826,"I. A. Family, 1810 - 1886, n.d","Barnes, Parthenia, 1832 - 1844, n.d.",3939999,5520628,acd6562e-5912-1f19-e040-e00a18060d18,MSS File Id #38251,"Barnes, Parthenia, 1832 - 1844, n.d.","Box 1, folder 3"
2017826,"I. A. Family, 1810 - 1886, n.d","Barnes, Parthenia, 1832 - 1844, n.d.",3940000,5520629,acd6562e-5913-1f19-e040-e00a18060d18,MSS File Id #38251,"Barnes, Parthenia, 1832 - 1844, n.d.","Box 1, folder 3"
2017826,"I. A. Family, 1810 - 1886, n.d","Barnes, Parthenia, 1832 - 1844, n.d.",3940001,5520630,acd6562e-5914-1f19-e040-e00a18060d18,MSS File Id #38251,"Barnes, Parthenia, 1832 - 1844, n.d.","Box 1, folder 3"
2017826,"I. A. Family, 1810 - 1886, n.d","Barnes, Parthenia, 1832 - 1844, n.d.",3940002,5520631,acd6562e-5915-1f19-e040-e00a18060d18,MSS File Id #38251,"Barnes, Parthenia, 1832 - 1844, n.d.","Box 1, folder 3"
2017826,"I. A. Family, 1810 - 1886, n.d","Barnes, Parthenia, 1832 - 1844, n.d.",3940003,5520632,acd6562e-5916-1f19-e040-e00a18060d18,MSS File Id #38251,"Barnes, Parthenia, 1832 - 1844, n.d.","Box 1, folder 3"
2017826,"I. A. Family, 1810 - 1886, n.d","Barnes, Parthenia, 1832 - 1844, n.d.",3940004,5520633,acd6562e-5917-1f19-e040-e00a18060d18,MSS File Id #38251,"Barnes, Parthenia, 1832 - 1844, n.d.","Box 1, folder 3"
2017826,"I. A. Family, 1810 - 1886, n.d","Barnes, Parthenia, 1832 - 1844, n.d.",3940005,5520634,acd6562e-5918-1f19-e040-e00a18060d18,MSS File Id #38251,"Barnes, Parthenia, 1832 - 1844, n.d.","Box 1, folder 3"
2017826,"I. A. Family, 1810 - 1886, n.d","Barnes, Parthenia, 1832 - 1844, n.d.",3940006,5520635,acd6562e-5919-1f19-e040-e00a18060d18,MSS File Id #38251,"Barnes, Parthenia, 1832 - 1844, n.d.","Box 1, folder 3"
